nombre,stock,categoria,ubicacion,codigo,descripcion
"Tubo de escape",1,"Componente","6615","DQ53441",""
"Tubo de escape",1,"Componente","6615","DQ64412",""
"Tornillo",2,"Tornillo","6415, 6615","19M7785","M10 X 25"
"Soporte",1,"Soporte","6415","AL153600",""
"Soporte",1,"Soporte","6615","AL159691",""
"Abrazadera",1,"Abrazadera","6415","AL119409",""
"Abrazadera",1,"Abrazadera","6615","AL173829",""
"Tornillo",4,"Tornillo","6415, 6615","19M8851","M6 X 12"
"Abrazadera",2,"Abrazadera","6415, 6615","AL177823",""
"Tubo de escape",1,"Componente","6415","CQ51594",""
"Tubo de escape",1,"Componente","6615","CQ51579",""
"Tubo de escape",1,"Componente","6415","AL204799",""
"Tubo de escape",1,"Componente","6615","AL204800",""
"Tuerca de empuje",2,"Tuerca","6415, 6615","L79493",""
"Protección",1,"Componente","6415","DQ52650",""
"Abrazadera",1,"Abrazadera","6415","DQ48309","UP"
"Abrazadera",1,"Abrazadera","6415","DQ48355","LOW"
"Tuerca",2,"Tuerca","6415","14M7273","M8"
"Arandela",2,"Arandela","6415","24M7055","8.400 X 16 X 1.600 mm"
"Tuerca de empuje",8,"Tuerca","6415","L79493",""
"Tornillo",2,"Tornillo","6415","19M7163","M8 X 25"
"Tuerca de seguridad",4,"Tuerca","6415","14M7165","M6"
"Arandela",2,"Arandela","6415","24M7309","6.600 X 22 X 2 mm"
"Arandela",2,"Arandela","6415","24M7043","12 X 25 X 3 mm"
"Arandela de seguridad",4,"Arandela","6415","L37975",""
"Aislante",2,"Aislante","6415","L173428",""
"Soporte",1,"Soporte","6415","L114742","UP"
"Casquillo",2,"Componente","6415","L114724",""
"Tornillo",2,"Tornillo","6415","19M7763","M6 X 75"
"Soporte",1,"Soporte","6415","L114743","LOW"
"Arandela",3,"Arandela","6415","24M7362","8.400 X 16 X 1.600 mm"
"Tornillo",3,"Tornillo","6415","19M8675","M8 X 16"
"Tornillo",9,"Tornillo","6415","19M8851","M6 X 12"
"Abrazadera",1,"Abrazadera","6415","AL159936","(ORDER AL169564)"
"Abrazadera",1,"Abrazadera","6415","AL169564",""
"Tornillo",1,"Tornillo","6415","19M9361","M8 X 60"
"Tubo de escape",1,"Componente","6415","AL152980",""
"Arandela",2,"Arandela","6415","24M7213","10.500 X 25 X 4 mm"
"Tornillo",2,"Tornillo","6415","19M7784","M10 X 20"
"Abrazadera",2,"Abrazadera","6415","AL80714",""
"Protección",1,"Componente","6415","CQ55290",""
"Protección",1,"Componente","6415","AL164075",""
